"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HHDI","NET","AGRWTH","A","1970",5.2854248208026,
"AUS","HHDI","NET","AGRWTH","A","1971",4.21432925599405,
"AUS","HHDI","NET","AGRWTH","A","1972",7.15665149804668,
"AUS","HHDI","NET","AGRWTH","A","1973",8.1055703476793,
"AUS","HHDI","NET","AGRWTH","A","1974",4.27092326959794,
"AUS","HHDI","NET","AGRWTH","A","1975",1.00465803348271,
"AUS","HHDI","NET","AGRWTH","A","1976",3.21172605871685,
"AUS","HHDI","NET","AGRWTH","A","1977",1.02904313533726,
"AUS","HHDI","NET","AGRWTH","A","1978",3.30915506728623,
"AUS","HHDI","NET","AGRWTH","A","1979",0.648970855335952,
"AUS","HHDI","NET","AGRWTH","A","1980",3.59870456381641,
"AUS","HHDI","NET","AGRWTH","A","1981",4.63609296444822,
"AUS","HHDI","NET","AGRWTH","A","1982",-0.349484245423091,
"AUS","HHDI","NET","AGRWTH","A","1983",3.7061088762456,
"AUS","HHDI","NET","AGRWTH","A","1984",2.36673473057128,
"AUS","HHDI","NET","AGRWTH","A","1985",3.12395141942722,
"AUS","HHDI","NET","AGRWTH","A","1986",-0.54422188421702,
"AUS","HHDI","NET","AGRWTH","A","1987",1.98155932364527,
"AUS","HHDI","NET","AGRWTH","A","1988",4.97947539988424,
"AUS","HHDI","NET","AGRWTH","A","1989",4.06739024456721,
"AUS","HHDI","NET","AGRWTH","A","1990",0.619113786646944,
"AUS","HHDI","NET","AGRWTH","A","1991",0.675837620595051,
"AUS","HHDI","NET","AGRWTH","A","1992",2.13057665012836,
"AUS","HHDI","NET","AGRWTH","A","1993",1.98910757457899,
"AUS","HHDI","NET","AGRWTH","A","1994",3.67008816594665,
"AUS","HHDI","NET","AGRWTH","A","1995",3.52133137759016,
"AUS","HHDI","NET","AGRWTH","A","1996",4.15446579603103,
"AUS","HHDI","NET","AGRWTH","A","1997",2.34691571971864,
"AUS","HHDI","NET","AGRWTH","A","1998",3.8226820762029,
"AUS","HHDI","NET","AGRWTH","A","1999",3.99371189292621,
"AUS","HHDI","NET","AGRWTH","A","2000",3.90540319862048,
"AUS","HHDI","NET","AGRWTH","A","2001",4.1962704296322,
"AUS","HHDI","NET","AGRWTH","A","2002",0.430046591922561,
"AUS","HHDI","NET","AGRWTH","A","2003",5.9377828845812,
"AUS","HHDI","NET","AGRWTH","A","2004",5.34649418234634,
"AUS","HHDI","NET","AGRWTH","A","2005",2.1301100941265,
"AUS","HHDI","NET","AGRWTH","A","2006",5.07179196129663,
"AUS","HHDI","NET","AGRWTH","A","2007",5.73033776668944,
"AUS","HHDI","NET","AGRWTH","A","2008",7.18454059913989,
"AUS","HHDI","NET","AGRWTH","A","2009",1.22612862889459,
"AUS","HHDI","NET","AGRWTH","A","2010",5.6785534827552,
"AUS","HHDI","NET","AGRWTH","A","2011",3.02993699727664,
"AUS","HHDI","NET","AGRWTH","A","2012",0.466858723705376,
"AUS","HHDI","NET","AGRWTH","A","2013",2.89118691119878,
"AUS","HHDI","NET","AGRWTH","A","2014",2.87448785934532,
"AUS","HHDI","NET","AGRWTH","A","2015",1.42391338883841,
"AUS","HHDI","NET","AGRWTH","A","2016",2.36307873806472,
"AUS","HHDI","NET","AGRWTH","A","2017",2.42105037189551,
"AUS","HHDI","NET","AGRWTH","A","2018",2.73989742238411,
"AUS","HHDI","NET","AGRWTH","A","2019",4.75714847463164,
"AUS","HHDI","NET","AGRWTH","A","2020",4.47151328902494,
"AUT","HHDI","NET","AGRWTH","A","1996",-0.000735332990642,
"AUT","HHDI","NET","AGRWTH","A","1997",-0.274992905431999,
"AUT","HHDI","NET","AGRWTH","A","1998",2.95981402053368,
"AUT","HHDI","NET","AGRWTH","A","1999",3.88788892853768,
"AUT","HHDI","NET","AGRWTH","A","2000",1.52366594520282,
"AUT","HHDI","NET","AGRWTH","A","2001",-0.439763064683821,
"AUT","HHDI","NET","AGRWTH","A","2002",1.36914231473695,
"AUT","HHDI","NET","AGRWTH","A","2003",1.9372223043446,
"AUT","HHDI","NET","AGRWTH","A","2004",1.7493100758086,
"AUT","HHDI","NET","AGRWTH","A","2005",3.83448870742335,
"AUT","HHDI","NET","AGRWTH","A","2006",2.82190020842188,
"AUT","HHDI","NET","AGRWTH","A","2007",2.37755979657941,
"AUT","HHDI","NET","AGRWTH","A","2008",1.2454299206401,
"AUT","HHDI","NET","AGRWTH","A","2009",-0.033916925784308,
"AUT","HHDI","NET","AGRWTH","A","2010",-0.686218359169389,
"AUT","HHDI","NET","AGRWTH","A","2011",-0.336051866471293,
"AUT","HHDI","NET","AGRWTH","A","2012",1.39532382885761,
"AUT","HHDI","NET","AGRWTH","A","2013",-1.38400612689104,
