DATE,POILDUBUSDM
1990-01-01,17.57
1990-02-01,17
1990-03-01,15.59
1990-04-01,14.05
1990-05-01,14.03
1990-06-01,13.05
1990-07-01,14.88
1990-08-01,25.06
1990-09-01,32.03
1990-10-01,32.34
1990-11-01,28.98
1990-12-01,24.18
1991-01-01,19.68
1991-02-01,15.51
1991-03-01,15.65
1991-04-01,15.55
1991-05-01,15.77
1991-06-01,15.03
1991-07-01,16.13
1991-08-01,16.47
1991-09-01,17.5
1991-10-01,19.12
1991-11-01,17.76
1991-12-01,15.11
1992-01-01,15.25
1992-02-01,15.46
1992-03-01,15.56
1992-04-01,16.67
1992-05-01,17.57
1992-06-01,18.98
1992-07-01,18.44
1992-08-01,17.78
1992-09-01,18.36
1992-10-01,18.16
1992-11-01,17.21
1992-12-01,16.22
1993-01-01,15.3
1993-02-01,16.16
1993-03-01,16.44
1993-04-01,16.43
1993-05-01,16.07
1993-06-01,15.4
1993-07-01,14.49
1993-08-01,14.57
1993-09-01,13.9
1993-10-01,14.59
1993-11-01,13.49
1993-12-01,12.03
1994-01-01,13.27
1994-02-01,12.73
1994-03-01,12.53
1994-04-01,13.9
1994-05-01,15.15
1994-06-01,15.88
1994-07-01,16.84
1994-08-01,15.73
1994-09-01,15.08
1994-10-01,15.3
1994-11-01,16.23
1994-12-01,15.34
1995-01-01,16.08
1995-02-01,16.64
1995-03-01,16.49
1995-04-01,17.65
1995-05-01,17.24
1995-06-01,16.24
1995-07-01,15.02
1995-08-01,15.38
1995-09-01,15.43
1995-10-01,14.99
1995-11-01,15.56
1995-12-01,16.81
1996-01-01,16.55
1996-02-01,15.99
1996-03-01,17.09
1996-04-01,17.77
1996-05-01,16.99
1996-06-01,17
1996-07-01,17.79
1996-08-01,18.68
1996-09-01,20.35
1996-10-01,21.72
1996-11-01,20.87
1996-12-01,21.64
1997-01-01,21.24
1997-02-01,18.59
1997-03-01,18.07
1997-04-01,16.77
1997-05-01,18.45
1997-06-01,17.34
1997-07-01,17.29
1997-08-01,17.77
1997-09-01,17.95
1997-10-01,19.06
1997-11-01,18.38
1997-12-01,16.31
1998-01-01,13.4
1998-02-01,12.43
1998-03-01,11.53
1998-04-01,11.47
1998-05-01,12.63
1998-06-01,11.68
1998-07-01,12
1998-08-01,12.18
1998-09-01,13.07
1998-10-01,12.81
1998-11-01,11.76
1998-12-01,10.12
1999-01-01,10.67
1999-02-01,10.05
1999-03-01,12.08
1999-04-01,14.81
1999-05-01,15.38
1999-06-01,15.4
1999-07-01,17.66
1999-08-01,19.29
1999-09-01,21.48
1999-10-01,21.5
1999-11-01,23.06
1999-12-01,23.53
2000-01-01,23.18
2000-02-01,24.62
2000-03-01,25.08
2000-04-01,22.03
2000-05-01,25.51
2000-06-01,27.32
2000-07-01,26.01
2000-08-01,27.05
2000-09-01,29.74
2000-10-01,30.22
2000-11-01,30.1
2000-12-01,22.16
2001-01-01,22.69
2001-02-01,24.74
2001-03-01,23.43
2001-04-01,24.06
2001-05-01,25.58
2001-06-01,25.61
2001-07-01,23.43
2001-08-01,24.31
2001-09-01,23.96
2001-10-01,19.54
2001-11-01,17.53
2001-12-01,17.64
2002-01-01,18.29
