freq,airpol,nace_r2,unit,geo\TIME_PERIOD	2010-Q1 	2010-Q2 	2010-Q3 	2010-Q4 	2011-Q1 	2011-Q2 	2011-Q3 	2011-Q4 	2012-Q1 	2012-Q2 	2012-Q3 	2012-Q4 	2013-Q1 	2013-Q2 	2013-Q3 	2013-Q4 	2014-Q1 	2014-Q2 	2014-Q3 	2014-Q4 	2015-Q1 	2015-Q2 	2015-Q3 	2015-Q4 	2016-Q1 	2016-Q2 	2016-Q3 	2016-Q4 	2017-Q1 	2017-Q2 	2017-Q3 	2017-Q4 	2018-Q1 	2018-Q2 	2018-Q3 	2018-Q4 	2019-Q1 	2019-Q2 	2019-Q3 	2019-Q4 	2020-Q1 	2020-Q2 	2020-Q3 	2020-Q4 	2021-Q1 	2021-Q2 	2021-Q3 	2021-Q4 
Q,GHG,A,PCH_SM,EU27_2020	: 	: 	: 	: 	1.004 s	0.244 s	-1.073 s	-1.559 s	-1.31 s	-1.842 s	0.035 s	0.854 s	0.859 s	1.003 s	0.032 s	0.228 s	0.942 s	1.088 s	1.697 s	0.826 s	0.418 s	0.173 s	0.847 s	0.28 s	0.853 s	0.665 s	0.53 s	0.466 s	0.814 s	0.975 s	1.105 s	1.35 s	-0.134 s	-0.484 s	-0.215 s	-1.355 s	0.051 s	-0.7 s	-1.355 s	-0.724 s	-1.148 s	-0.986 s	-0.267 s	-1.163 s	-0.165 s	0.646 s	1.519 s	1.402 s
Q,GHG,A,THS_T,EU27_2020	115484.842 s	119397.833 s	121111.504 s	121913.83 s	116644.163 s	119689.574 s	119812.477 s	120013.688 s	115116.477 s	117484.457 s	119854.617 s	121038.008 s	116105.838 s	118663.395 s	119893.122 s	121314.052 s	117199.133 s	119954.697 s	121927.48 s	122315.572 s	117689.155 s	120162.778 s	122959.851 s	122657.89 s	118693.051 s	120961.329 s	123611.4 s	123229.03 s	119658.655 s	122141.106 s	124977.538 s	124892.47 s	119498.397 s	121550.275 s	124709.434 s	123200.133 s	119559.67 s	120698.929 s	123020.161 s	122308.736 s	118187.407 s	119508.786 s	122691.198 s	120886.511 s	117991.948 s	120281.213 s	124554.679 s	122581.668 s
Q,GHG,A,T_HAB,EU27_2020	0.262 s	0.271 s	0.275 s	0.276 s	0.264 s	0.271 s	0.271 s	0.272 s	0.26 s	0.266 s	0.271 s	0.273 s	0.262 s	0.268 s	0.271 s	0.274 s	0.265 s	0.271 s	0.275 s	0.276 s	0.265 s	0.271 s	0.277 s	0.276 s	0.267 s	0.272 s	0.278 s	0.277 s	0.269 s	0.274 s	0.28 s	0.28 s	0.268 s	0.272 s	0.279 s	0.276 s	0.267 s	0.27 s	0.275 s	0.273 s	0.264 s	0.267 s	0.274 s	0.27 s	0.264 s	0.269 s	0.278 s	0.274 s
Q,GHG,B,PCH_SM,EU27_2020	: 	: 	: 	: 	5.247 s	3.595 s	0.489 s	-4.334 s	-5.879 s	-7.553 s	-6.017 s	-3.133 s	-4.11 s	-2.652 s	-2.897 s	-2.307 s	-3.032 s	-3.117 s	-2.857 s	-3.18 s	-0.544 s	0.672 s	0.584 s	1.284 s	-2.579 s	-4.1 s	-5.1 s	-5.015 s	-2.311 s	-2.15 s	-1.171 s	-0.55 s	-0.691 s	-2.492 s	-4.128 s	-6.52 s	-8.376 s	-9.38 s	-8.578 s	-5.516 s	-4.154 s	-13.96 s	-2.678 s	-0.636 s	1.472 s	19.651 s	8.282 s	10.309 s
Q,GHG,B,THS_T,EU27_2020	16062.003 s	17180.628 s	17335.506 s	18980.303 s	16904.816 s	17798.336 s	17420.328 s	18157.665 s	15910.95 s	16453.985 s	16372.201 s	17588.793 s	15257.057 s	16017.701 s	15897.854 s	17183.007 s	14794.401 s	15518.406 s	15443.611 s	16636.565 s	14713.919 s	15622.65 s	15533.768 s	16850.107 s	14334.447 s	14982.173 s	14741.52 s	16005.146 s	14003.171 s	14660.056 s	14568.835 s	15917.085 s	13906.374 s	14294.715 s	13967.457 s	14879.328 s	12741.516 s	12953.926 s	12769.273 s	14058.55 s	12212.279 s	11145.613 s	12427.27 s	13969.084 s	12392.003 s	13335.841 s	13456.553 s	15409.224 s
Q,GHG,B,T_HAB,EU27_2020	0.036 s	0.039 s	0.039 s	0.043 s	0.038 s	0.04 s	0.039 s	0.041 s	0.036 s	0.037 s	0.037 s	0.04 s	0.034 s	0.036 s	0.036 s	0.039 s	0.033 s	0.035 s	0.035 s	0.038 s	0.033 s	0.035 s	0.035 s	0.038 s	0.032 s	0.034 s	0.033 s	0.036 s	0.031 s	0.033 s	0.033 s	0.036 s	0.031 s	0.032 s	0.031 s	0.033 s	0.028 s	0.029 s	0.029 s	0.031 s	0.027 s	0.025 s	0.028 s	0.031 s	0.028 s	0.03 s	0.03 s	0.034 s
Q,GHG,C,PCH_SM,EU27_2020	: 	: 	: 	: 	2.698 s	-2.708 s	-3.263 s	-4.859 s	-4.566 s	-4.483 s	-3.317 s	-3.449 s	-5.561 s	-3.055 s	-2.407 s	-1.188 s	0.583 s	-2.313 s	-2.452 s	-2.191 s	-1.292 s	0.604 s	0.368 s	1.043 s	0.14 s	0.841 s	-0.365 s	-0.04 s	2.627 s	0.579 s	2.192 s	2.673 s	0.156 s	0.542 s	-1.11 s	-1.65 s	-0.617 s	-3.082 s	-2.19 s	-2.341 s	-4.732 s	-19 s	-3.991 s	0.306 s	3.446 s	26.947 s	7.894 s	7.119 s
Q,GHG,C,THS_T,EU27_2020	208761.182 s	231414.43 s	220659.336 s	227813.481 s	214393.312 s	225146.927 s	213460.117 s	216743.46 s	204604.899 s	215054.588 s	206380.074 s	209267.292 s	193226.19 s	208485.409 s	201411.925 s	206781.279 s	194352.084 s	203662.292 s	196473.257 s	202249.784 s	191841.936 s	204892.751 s	197195.312 s	204359.16 s	192110.706 s	206615.715 s	196475.927 s	204276.489 s	197157.392 s	207811.184 s	200782.903 s	209736.629 s	197465.553 s	208937.149 s	198553.552 s	206276.864 s	196247.179 s	202496.749 s	194204.384 s	201448.611 s	186961.247 s	164021.687 s	186453.792 s	202065.415 s	193403.183 s	208221.232 s	201172.21 s	216451.199 s
Q,GHG,C,T_HAB,EU27_2020	0.474 s	0.525 s	0.5 s	0.516 s	0.486 s	0.51 s	0.483 s	0.49 s	0.463 s	0.486 s	0.467 s	0.473 s	0.437 s	0.471 s	0.455 s	0.467 s	0.439 s	0.46 s	0.443 s	0.456 s	0.432 s	0.462 s	0.444 s	0.459 s	0.432 s	0.464 s	0.441 s	0.458 s	0.442 s	0.466 s	0.45 s	0.47 s	0.442 s	0.468 s	0.444 s	0.461 s	0.439 s	0.453 s	0.434 s	0.45 s	0.417 s	0.366 s	0.416 s	0.451 s	0.432 s	0.465 s	0.449 s	0.483 s
Q,GHG,D,PCH_SM,EU27_2020	: 	: 	: 	: 	-2.166 s	2.512 s	0.42 s	-3.378 s	2.756 s	-3.368 s	-0.589 s	-3.748 s	-5.922 s	-8.25 s	-3.577 s	-2.669 s	-11.972 s	-1.036 s	-3.862 s	-3.131 s	4.125 s	-3.94 s	3.632 s	-0.715 s	-4.312 s	-1.22 s	-5.941 s	3.753 s	8.212 s	3.908 s	-2.646 s	-9.331 s	-10.223 s	-10.517 s	1.177 s	-3.015 s	-9.599 s	-9.195 s	-17.284 s	-15.798 s	-17.93 s	-21.393 s	-5.459 s	-3.075 s	8.049 s	17.074 s	0.469 s	9.49 s
Q,GHG,D,THS_T,EU27_2020	319690.788 s	251127.921 s	260761.734 s	315189.315 s	312766.038 s	257436.028 s	261857 s	304541.465 s	321385.691 s	248765.68 s	260313.654 s	293128.577 s	302352.858 s	228242.992 s	251002.305 s	285303.842 s	266155.357 s	225878.958 s	241308.319 s	276371.049 s	277133.77 s	216979.049 s	250072.339 s	274393.763 s	265184.139 s	214332.426 s	235214.635 s	284692.417 s	286962.011 s	222708.187 s	228990.578 s	258127.707 s	257625.451 s	199285.668 s	231685.424 s	250345.076 s	232895.974 s	180961.795 s	191640.959 s	210795.262 s	191137.396 s	142247.888 s	181179.567 s	204312.673 s	206522.603 s	166535.11 s	182028.565 s	223702.488 s
Q,GHG,D,T_HAB,EU27_2020	0.725 s	0.57 s	0.591 s	0.714 s	0.709 s	0.583 s	0.593 s	0.689 s	0.727 s	0.563 s	0.589 s	0.662 s	0.683 s	0.516 s	0.567 s	0.644 s	0.601 s	0.51 s	0.544 s	0.623 s	0.624 s	0.489 s	0.563 s	0.617 s	0.596 s	0.482 s	0.528 s	0.639 s	0.644 s	0.5 s	0.513 s	0.578 s	0.577 s	0.446 s	0.519 s	0.56 s	0.521 s	0.404 s	0.428 s	0.47 s	0.427 s	0.318 s	0.404 s	0.456 s	0.461 s	0.372 s	0.407 s	0.499 s
