freq,product,consom,unit,tax,currency,geo\TIME_PERIOD	2007-S1 	2007-S2 	2008-S1 	2008-S2 	2009-S1 	2009-S2 	2010-S1 	2010-S2 	2011-S1 	2011-S2 	2012-S1 	2012-S2 	2013-S1 	2013-S2 	2014-S1 	2014-S2 	2015-S1 	2015-S2 	2016-S1 	2016-S2 	2017-S1 	2017-S2 	2018-S1 	2018-S2 	2019-S1 	2019-S2 	2020-S1 	2020-S2 	2021-S1 	2021-S2 
S,4100,4142901,KWH,I_TAX,EUR,AT	: 	0.0534 	: 	: 	0.0622 	0.0611 	0.0604 	0.0618 	0.0636 	0.0664 	0.0667 	0.0686 	0.0697 	0.0711 	0.0702 	0.0679 	0.0670 	0.0653 	0.0643 	0.0631 	0.0597 	0.0618 	0.0598 	0.0606 	0.0587 	0.0606 	0.0577 	0.0565 	0.0583 	0.0656 
S,4100,4142901,KWH,I_TAX,EUR,BA	: 	: 	: 	: 	: 	: 	: 	: 	0.0560 	0.0637 	0.0663 	0.0663 	0.0663 	0.0621 	0.0621 	0.0621 	0.0622 	0.0622 	0.0499 	0.0444 	0.0402 	0.0418 	0.0417 	0.0418 	0.0429 	0.0435 	0.0465 	0.0438 	0.0414 	0.0453 
S,4100,4142901,KWH,I_TAX,EUR,BE	: 	0.0483 	0.0566 	0.0706 	0.0558 	0.0484 	0.0497 	0.0576 	0.0604 	0.0651 	0.0672 	0.0654 	0.0635 	0.0632 	0.0621 	0.0591 	0.0551 	0.0558 	0.0495 	0.0488 	0.0489 	0.0503 	0.0470 	0.0528 	0.0514 	0.0478 	0.0449 	0.0458 	0.0454 	0.0637 
S,4100,4142901,KWH,I_TAX,EUR,BG	: 	0.0239 	0.0270 	0.0348 	0.0419 	0.0284 	0.0314 	0.0406 	0.0393 	0.0432 	0.0473 	0.0525 	0.0475 	0.0467 	0.0472 	0.0461 	0.0446 	0.0378 	0.0331 	0.0282 	0.0320 	0.0369 	0.0374 	0.0431 	0.0442 	0.0432 	0.0399 	0.0353 	0.0363 	0.0746 
S,4100,4142901,KWH,I_TAX,EUR,CZ	: 	0.0343 	0.0437 	0.0528 	0.0491 	0.0489 	0.0461 	0.0512 	0.0535 	0.0586 	0.0597 	0.0595 	0.0551 	0.0540 	0.0475 	0.0494 	0.0487 	0.0498 	0.0461 	0.0466 	0.0408 	0.0442 	0.0420 	0.0412 	0.0423 	0.0432 	0.0407 	0.0397 	0.0365 	0.0372 
S,4100,4142901,KWH,I_TAX,EUR,DE	: 	0.0550 	0.0602 	0.0661 	0.0565 	0.0491 	0.0515 	0.0560 	0.0577 	0.0580 	0.0604 	0.0611 	0.0621 	0.0616 	0.0600 	0.0576 	0.0571 	0.0564 	0.0539 	0.0529 	0.0518 	0.0509 	0.0501 	0.0502 	0.0495 	0.0503 	0.0530 	0.0513 	0.0559 	0.0649 
S,4100,4142901,KWH,I_TAX,EUR,DK	0.0790 	0.0856 	0.0926 	0.0946 	0.0919 	0.0958 	0.0926 	0.0938 	0.0987 	0.0977 	0.0924 	0.0911 	0.0927 	0.0924 	0.0908 	0.0883 	0.0864 	0.0830 	0.0786 	0.0812 	0.0822 	0.0812 	0.0851 	0.0868 	0.0829 	0.0748 	0.0732 	0.0728 	0.0813 	0.1317 
S,4100,4142901,KWH,I_TAX,EUR,EA	0.0571 	0.0499 	0.0527 	0.0601 	0.0586 	0.0531 	0.0519 	0.0564 	0.0570 	0.0620 	0.0648 	0.0689 	0.0677 	0.0699 	0.0656 	0.0670 	0.0634 	0.0636 	0.0586 	0.0589 	0.0561 	0.0575 	0.0560 	0.0610 	0.0599 	0.0619 	0.0606 	0.0607 	0.0594 	0.0742 
S,4100,4142901,KWH,I_TAX,EUR,EE	: 	0.0248 	0.0328 	0.0439 	0.0393 	0.0313 	0.0361 	0.0383 	0.0388 	0.0406 	0.0498 	0.0497 	0.0512 	0.0452 	0.0485 	0.0478 	0.0487 	0.0371 	0.0337 	0.0299 	0.0419 	0.0355 	0.0390 	0.0413 	0.0447 	0.0435 	0.0428 	0.0352 	0.0400 	0.0808 
S,4100,4142901,KWH,I_TAX,EUR,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.0650 	0.0617 	0.0599 	0.0599 	0.0540 	0.0466 	0.0420 	0.0370 	0.0365 	0.0486 p	0.0356 	0.0528 e	0.0646 	0.0612 	0.0547 	0.0492 	0.0461 	0.0484 	0.1097 
S,4100,4142901,KWH,I_TAX,EUR,ES	: 	0.0369 	0.0384 	0.0441 	0.0530 	0.0500 	0.0460 	0.0483 	0.0501 	0.0451 	0.0562 	0.0587 	0.0590 	0.0668 	0.0599 	0.0670 	0.0593 	0.0635 	0.0523 	0.0553 	0.0479 	0.0442 	0.0450 	0.0550 	0.0521 	0.0570 	0.0499 	0.0414 	0.0452 	0.0685 
S,4100,4142901,KWH,I_TAX,EUR,EU27_2020	0.0576 	0.0483 	0.0513 	0.0585 	0.0564 	0.0519 	0.0509 	0.0552 	0.0558 	0.0607 	0.0631 	0.0672 	0.0655 	0.0678 	0.0635 	0.0649 	0.0617 	0.0618 	0.0567 	0.0570 	0.0542 	0.0555 	0.0542 	0.0589 	0.0581 	0.0598 	0.0584 	0.0583 	0.0570 	0.0737 
S,4100,4142901,KWH,I_TAX,EUR,FI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.0734 	0.0760 	0.0813 	0.0874 	0.0839 	0.0777 	0.0751 	0.0932 	0.1487 
S,4100,4142901,KWH,I_TAX,EUR,FR	: 	0.0485 	0.0467 	0.0536 	0.0532 	0.0508 	0.0503 	0.0565 	0.0559 	0.0645 	0.0659 	0.0763 	0.0699 	0.0769 	0.0660 	0.0726 	0.0661 	0.0639 	0.0557 	0.0585 	0.0544 	0.0593 	0.0587 	0.0662 	0.0610 	0.0660 	0.0615 	0.0676 	0.0581 	0.0719 
S,4100,4142901,KWH,I_TAX,EUR,GE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.0253 	0.0252 	0.0267 	0.0259 	0.0251 	0.0218 	0.0228 	0.0261 
S,4100,4142901,KWH,I_TAX,EUR,HR	0.0299 	0.0280 	0.0278 	0.0282 	0.0321 	0.0329 	0.0418 	0.0485 	0.0497 	0.0532 	0.0562 	0.0613 	0.0613 	0.0580 	0.0573 	0.0566 	0.0573 	0.0529 	0.0508 	0.0438 	0.0416 	0.0401 	0.0407 	0.0454 	0.0477 	0.0475 	0.0458 	0.0432 	0.0446 	0.0657 
S,4100,4142901,KWH,I_TAX,EUR,HU	: 	0.0426 	0.0528 	0.0586 	0.0493 	0.0524 	0.0533 	0.0531 	0.0575 	0.0603 	0.0584 	0.0576 	0.0527 	0.0580 	0.0499 	0.0514 	0.0491 	0.0492 	0.0435 	0.0412 	0.0405 	0.0390 	0.0378 	0.0400 	0.0386 	0.0397 	0.0371 	0.0356 	0.0346 	0.0440 
S,4100,4142901,KWH,I_TAX,EUR,IE	: 	0.0514 	0.0508 	0.0619 	0.0588 	0.0524 	0.0422 	0.0471 	0.0433 	0.0514 	0.0512 	0.0591 	0.0577 	0.0643 	0.0600 	0.0652 	0.0593 	0.0632 	0.0580 	0.0591 	0.0545 	0.0587 	0.0500 	0.0630 	0.0545 	0.0594 	0.0559 	0.0598 	0.0491 	0.0741 
S,4100,4142901,KWH,I_TAX,EUR,IT	0.0506 	0.0454 	0.0478 	0.0565 	0.0597 	0.0580 	0.0517 	0.0566 	0.0570 	0.0702 	0.0721 	0.0786 	0.0780 	0.0778 	0.0737 	0.0755 	0.0707 	0.0732 	0.0654 	0.0667 	0.0621 	0.0678 	0.0634 	0.0721 	0.0714 	0.0727 	0.0673 	0.0711 	0.0641 	0.0868 
S,4100,4142901,KWH,I_TAX,EUR,LT	: 	0.0301 	0.0378 	0.0549 	0.0408 	0.0364 	0.0397 	0.0437 	0.0428 	0.0538 	0.0666 	0.0684 	0.0638 	0.0509 	0.0567 	0.0530 	0.0490 	0.0398 	0.0436 	0.0330 	0.0381 	0.0492 	0.0418 	0.0529 	0.0446 	0.0416 	0.0278 	0.0298 	0.0342 	0.1070 
S,4100,4142901,KWH,I_TAX,EUR,LU	: 	0.0387 	0.0440 	0.0496 	0.0515 	0.0475 	0.0402 	0.0460 	0.0499 	0.0556 	0.0579 	0.0578 	0.0621 	0.0569 	0.0536 	0.0515 	0.0495 	0.0474 	0.0433 	0.0407 	0.0404 	0.0403 	0.0413 	0.0430 	0.0453 	0.0417 	0.0438 	0.0397 	0.0444 	0.0642 
S,4100,4142901,KWH,I_TAX,EUR,LV	: 	0.0310 	0.0349 	0.0547 	0.0578 	0.0422 	0.0347 	0.0451 	0.0423 	0.0466 	0.0513 	0.0558 	0.0507 	0.0504 	0.0486 	0.0486 	0.0495 	0.0428 	0.0406 	0.0356 	0.0384 	0.0432 	0.0435 	0.0487 	0.0478 	0.0431 	0.0382 	0.0395 	0.0408 	0.0946 
